cartera_id,sucursal_id,sucursal_nombre,periodo_id,anio,mes_numero,cantidad_prestamos,valor_rd
190,31,Santo Domingo,6,2017,9,1909,1616345832
191,32,Valverde Mao,6,2017,9,973,1431730601
192,33,Villa Riva,6,2017,9,1059,332247406
193,1,Arenoso,7,2017,10,703,254729973
194,2,Azua,7,2017,10,1940,654187686
195,3,Baní,7,2017,10,773,563143256
196,4,Barahona,7,2017,10,2091,584542771
197,5,Bonao,7,2017,10,556,473334819
198,6,Comendador,7,2017,10,1779,322856427
199,7,Constanza,7,2017,10,1233,781326890
200,8,Cotuí,7,2017,10,1898,1074399416
201,9,Dajabón,7,2017,10,1119,466180824
202,10,El Seibo,7,2017,10,1113,317673977
203,11,Hato Mayor,7,2017,10,1137,700524710
204,12,Higüey,7,2017,10,1137,777248478
205,13,La Vega,7,2017,10,837,862616945
206,15,Moca,7,2017,10,959,637450554
207,16,Monte Plata,7,2017,10,1305,1117114691
208,17,Montecristí,7,2017,10,878,1241691234
209,18,Nagua,7,2017,10,973,429724312
210,19,Neyba,7,2017,10,1707,484885292
211,20,Puerto Plata,7,2017,10,1836,569482931
212,21,Río San Juan,7,2017,10,956,444155839
213,22,Salcedo,7,2017,10,826,391066338
214,23,Samaná,7,2017,10,1249,298946917
215,24,San Cristóbal,7,2017,10,1258,649474294
216,25,San Francisco de Macorís,7,2017,10,759,721953422
217,26,San José de Ocoa,7,2017,10,1137,1624775543
218,27,San José de las Matas,7,2017,10,943,576532769
219,28,San Juan de la Maguana,7,2017,10,4522,1413841014
220,29,Santiago,7,2017,10,459,448672558
221,30,Santiago Rodríguez,7,2017,10,1656,760140461
222,31,Santo Domingo,7,2017,10,1929,2001635866
223,32,Valverde Mao,7,2017,10,942,1425006394
224,33,Villa Riva,7,2017,10,1012,307659173
225,1,Arenoso,8,2017,11,772,263726022
226,2,Azua,8,2017,11,1941,686399876
227,3,Baní,8,2017,11,779,571401996
228,4,Barahona,8,2017,11,2092,511790338
229,5,Bonao,8,2017,11,559,493202847
230,6,Comendador,8,2017,11,1759,316366652
231,7,Constanza,8,2017,11,1233,786240108
232,8,Cotuí,8,2017,11,1879,1076562142
233,9,Dajabón,8,2017,11,1147,479957161
234,10,El Seibo,8,2017,11,1114,321521629
235,11,Hato Mayor,8,2017,11,1170,712625538
236,12,Higüey,8,2017,11,1129,774991381
237,13,La Vega,8,2017,11,909,897333857
238,15,Moca,8,2017,11,955,641141093
239,16,Monte Plata,8,2017,11,1323,1199050918
240,17,Montecristí,8,2017,11,888,580458904
241,18,Nagua,8,2017,11,988,423973816
242,19,Neyba,8,2017,11,1688,501714856
243,20,Puerto Plata,8,2017,11,1835,583414932
244,21,Río San Juan,8,2017,11,944,439919136
245,22,Salcedo,8,2017,11,852,391633762
246,23,Samaná,8,2017,11,1270,314815657
247,24,San Cristóbal,8,2017,11,1268,676478805
248,25,San Francisco de Macorís,8,2017,11,782,722578021
249,26,San José de Ocoa,8,2017,11,1126,1651146021
250,27,San José de las Matas,8,2017,11,939,579072349
251,28,San Juan de la Maguana,8,2017,11,4556,1484139716
252,29,Santiago,8,2017,11,467,452486648
253,30,Santiago Rodríguez,8,2017,11,1638,761911960
254,31,Santo Domingo,8,2017,11,1962,2115392040
255,32,Valverde Mao,8,2017,11,936,1332352345
256,33,Villa Riva,8,2017,11,1011,308420277
257,1,Arenoso,9,2017,12,888,315274700
258,2,Azua,9,2017,12,1969,735023826
259,3,Baní,9,2017,12,784,585446144
260,4,Barahona,9,2017,12,2094,533242065
261,5,Bonao,9,2017,12,610,508670655
262,6,Comendador,9,2017,12,1726,315409421
263,7,Constanza,9,2017,12,1247,780514971
264,8,Cotuí,9,2017,12,1971,1071301091
265,9,Dajabón,9,2017,12,1211,495147520
266,10,El Seibo,9,2017,12,1142,337202224
267,11,Hato Mayor,9,2017,12,1197,738974730
268,12,Higüey,9,2017,12,1146,796671959
269,13,La Vega,9,2017,12,1087,1007677215
270,15,Moca,9,2017,12,948,657023855
271,16,Monte Plata,9,2017,12,1345,1260035411
272,17,Montecristí,9,2017,12,1170,604474213
273,18,Nagua,9,2017,12,1173,452413228
274,19,Neyba,9,2017,12,1736,506880810
275,20,Puerto Plata,9,2017,12,1859,606192360
