desembolso_cobro_id,sucursal_id,sucursal_nombre,periodo_id,anio,mes_numero,desembolsos_rd,cobros_rd,balance_neto_rd
216,24,San Cristóbal,100,2025,7,20240162,27593752,-7353590
217,25,San Francisco de Macorís,100,2025,7,114454443,86384502,28069941
218,26,San José de Ocoa,100,2025,7,176944898,140585056,36359842
219,27,San José de las Matas,100,2025,7,25188095,15483993,9704102
220,28,San Juan de la Maguana,100,2025,7,116643737,43818688,72825049
221,29,Santiago,100,2025,7,188164898,192698315,-4533417
222,30,Santiago Rodríguez,100,2025,7,25120570,31271227,-6150657
223,31,Santo Domingo,100,2025,7,119207063,301859917,-182652854
224,33,Villa Riva,100,2025,7,48829578,74561896,-25732318
225,1,Arenoso,101,2025,8,29438452,51652292,-22213840
226,2,Azua,101,2025,8,126288571,100241746,26046825
227,3,Baní,101,2025,8,209427274,72787212,136640062
228,4,Barahona,101,2025,8,9184403,14418238,-5233835
229,5,Bonao,101,2025,8,35131485,36255543,-1124058
230,6,Comendador,101,2025,8,13929240,13876307,52933
231,7,Constanza,101,2025,8,70236718,36585450,33651268
232,8,Cotuí,101,2025,8,57492755,44961840,12530915
233,9,Dajabón,101,2025,8,33253742,20603442,12650300
234,10,El Seibo,101,2025,8,9995161,31515679,-21520518
235,11,Hato Mayor,101,2025,8,175190839,170436666,4754173
236,12,Higüey,101,2025,8,15704632,43914335,-28209703
237,13,La Vega,101,2025,8,301418694,179832368,121586326
238,14,Mao Valverde,101,2025,8,197654806,156082850,41571956
239,15,Moca,101,2025,8,31713197,51102886,-19389689
240,16,Monte Plata,101,2025,8,49458342,91692823,-42234481
241,17,Montecristí,101,2025,8,79974668,65381465,14593203
242,18,Nagua,101,2025,8,25090400,29355512,-4265112
243,19,Neyba,101,2025,8,8269751,12690321,-4420570
244,20,Puerto Plata,101,2025,8,28791166,33590226,-4799060
245,21,Río San Juan,101,2025,8,24769870,21986136,2783734
246,22,Salcedo,101,2025,8,11173903,29754066,-18580163
247,23,Samaná,101,2025,8,17237654,10962382,6275272
248,24,San Cristóbal,101,2025,8,18923673,14442605,4481068
249,25,San Francisco de Macorís,101,2025,8,40804764,122150108,-81345344
250,26,San José de Ocoa,101,2025,8,90152543,76245748,13906795
251,27,San José de las Matas,101,2025,8,18880916,12463188,6417728
252,28,San Juan de la Maguana,101,2025,8,136393153,24276270,112116883
253,29,Santiago,101,2025,8,102150915,120661946,-18511031
254,30,Santiago Rodríguez,101,2025,8,16919294,31791362,-14872068
255,31,Santo Domingo,101,2025,8,218796163,169232408,49563755
256,33,Villa Riva,101,2025,8,114748777,143066513,-28317736
257,1,Arenoso,102,2025,9,9817801,58185304,-48367503
