monto_destino_id,destino_id,destino_nombre,rubro,tipo_operacion,periodo_id,anio,mes_numero,cantidad,valores_rd,tareas,beneficiados
111,40,Gallinas Ponedoras,Gallinas Ponedoras,General,3,2017,6,2,18600000,0,2
112,41,Ganado de Carne,Ganado de Carne,General,3,2017,6,76,63942000,0,76
113,42,Ganado de Carne (Com),Ganado de Carne,Com,3,2017,6,9,17645000,0,9
114,44,Ganado de Doble Propósito,Ganado de Doble Propósito,General,3,2017,6,51,31673000,0,51
115,45,Ganado de Leche,Ganado de Leche,General,3,2017,6,24,41431000,0,68
116,46,Ganado de Leche (Com.),Ganado de Leche,Com.,3,2017,6,0,0,0,0
117,51,Guandul (Comercialización),Guandul,Comercialización,3,2017,6,0,0,0,0
118,52,Guandul (Producción),Guandul,Producción,3,2017,6,5,630000,460,5
119,53,Guineo,Guineo,General,3,2017,6,7,2762000,245,7
120,57,Habichuela (Comercialización),Habichuela,Comercialización,3,2017,6,0,0,0,0
121,58,Habichuela (Producción),Habichuela,Producción,3,2017,6,1,120000,40,1
122,59,Invernadero,Invernadero,General,3,2017,6,8,73737118,82,8
123,63,Maíz (Comercialización),Maíz,Comercialización,3,2017,6,0,0,0,0
124,64,Maíz (Producción),Maíz,Producción,3,2017,6,4,210000,150,4
125,68,Otros Agrícolas,Otros Agrícolas,General,3,2017,6,122,121568382,13500,122
126,69,Otros Avícolas,Otros Avícolas,General,3,2017,6,1,300000,0,1
127,70,Otros Pecuarios,Otros Pecuarios,General,3,2017,6,52,94956869,0,52
128,72,Papa,Papa,General,3,2017,6,27,26097400,1123,27
129,75,Piña,Piña,General,3,2017,6,19,9667500,1058,19
130,77,Plátano,Plátano,General,3,2017,6,78,23444600,6028,78
131,82,Pollos de Engorde,Pollos de Engorde,General,3,2017,6,49,27763193,0,49
132,85,Porcino (Comercialización),Porcino,Comercialización,3,2017,6,0,0,0,0
133,86,Porcino (Producción),Porcino,Producción,3,2017,6,85,37388000,0,85
134,87,Préstamos de Consumo,Préstamos de Consumo,General,3,2017,6,173,39124096,0,173
135,92,Tabaco (Comercialización),Tabaco,Comercialización,3,2017,6,6,1685000,0,6
136,94,Tabaco (Producción),Tabaco,Producción,3,2017,6,0,0,0,0
137,97,Tomate Industrial,Tomate Industrial,General,3,2017,6,0,0,0,0
138,98,Tomate de Mesa,Tomate de Mesa,General,3,2017,6,26,14677000,452,26
139,100,Yautía,Yautía,General,3,2017,6,21,2961000,467,21
140,102,Yuca,Yuca,General,3,2017,6,25,3282200,1020,25
141,104,Ñame,Ñame,General,3,2017,6,11,2655487,414,11
142,3,"Agro. Manufactura, Comercio V. y Otros","Agro. Manufactura, Comercio V. y Otros",General,4,2017,7,256,186226608,0,256
143,4,Aguacate (Producción),Aguacate,Producción,4,2017,7,31,9420000,1200,31
144,8,Ajo (Comercialización),Ajo,Comercialización,4,2017,7,0,0,0,0
145,9,Ajo (Producción),Ajo,Producción,4,2017,7,2,3395000,93,2
146,10,Ají (Producción),Ají,Producción,4,2017,7,22,58256700,3324,22
147,11,Apícola,Apícola,General,4,2017,7,2,300000,0,2
148,14,Arroz (Comercialización),Arroz,Comercialización,4,2017,7,6,29386000,0,6
149,17,Arroz (Producción),Arroz,Producción,4,2017,7,425,230280013,49811,425
150,20,Batata,Batata,General,4,2017,7,5,3488000,913,5
151,23,Cacao (Comercialización),Cacao,Comercialización,4,2017,7,5,3415000,0,5
152,24,Cacao (Producción),Cacao,Producción,4,2017,7,202,69823000,32200,202
153,26,Café (Comercialización),Café,Comercialización,4,2017,7,0,0,0,0
154,27,Café (Producción),Café,Producción,4,2017,7,19,12980000,1789,19
155,28,Cebolla,Cebolla,General,4,2017,7,6,7186000,342,6
156,33,Coco (Comercialización),Coco,Comercialización,4,2017,7,0,0,0,0
157,34,Coco (Producción),Coco,Producción,4,2017,7,4,450000,193,4
158,40,Gallinas Ponedoras,Gallinas Ponedoras,General,4,2017,7,2,4900000,0,2
159,41,Ganado de Carne,Ganado de Carne,General,4,2017,7,73,42850000,0,73
