Sucursales ;Desembolsos (RD$);Cobros (RD$);Mes;Año
Neyba; 11,356,281 ; 18,529,867 ;Mayo;2025
Barahona; 12,114,946 ; 17,136,653 ;Mayo;2025
San Juan de la Maguana ; 49,539,890 ; 93,484,592 ;Mayo;2025
Comendador; 14,148,171 ; 13,875,059 ;Mayo;2025
Nagua; 31,901,889 ; 92,410,509 ;Mayo;2025
Arenoso; 79,036,522 ; 180,887,294 ;Mayo;2025
Samaná; 19,759,491 ; 17,617,594 ;Mayo;2025
Río San Juan; 64,821,706 ; 99,230,222 ;Mayo;2025
Villa Riva; 34,451,040 ; 65,782,541 ;Mayo;2025
San Francisco de Macorís; 94,220,624 ; 125,392,837 ;Mayo;2025
Santiago; 162,999,886 ; 186,580,064 ;Mayo;2025
Moca; 34,918,368 ; 52,426,763 ;Mayo;2025
San José de las Matas; 29,948,903 ; 13,696,047 ;Mayo;2025
Constanza; 111,026,652 ; 126,143,612 ;Mayo;2025
La Vega; 256,866,835 ; 155,498,901 ;Mayo;2025
Santiago Rodríguez; 13,226,911 ; 22,134,227 ;Mayo;2025
Montecristi; 106,523,604 ; 56,571,663 ;Mayo;2025
Puerto Plata; 55,843,256 ; 51,852,306 ;Mayo;2025
Mao Valverde ; 358,460,115 ; 181,867,094 ;Mayo;2025
Dajabón; 24,832,103 ; 31,455,227 ;Mayo;2025
San José de Ocoa; 99,596,806 ; 105,169,985 ;Mayo;2025
Bonao; 43,839,658 ; 33,091,574 ;Mayo;2025
San Cristóbal; 13,516,734 ; 13,210,991 ;Mayo;2025
Salcedo; 87,829,761 ; 79,890,651 ;Mayo;2025
Cotuí; 239,705,806 ; 118,828,917 ;Mayo;2025
Santo Domingo; 214,479,808 ; 261,943,588 ;Junio;2025
El Seibo; 13,259,622 ; 54,142,355 ;Junio;2025
Higüey; 30,716,571 ; 31,483,501 ;Junio;2025
Hato Mayor; 31,823,450 ; 50,982,290 ;Junio;2025
Monte Plata; 31,604,121 ; 65,401,677 ;Junio;2025
Azua; 22,532,843 ; 26,700,600 ;Junio;2025
Baní; 27,400,158 ; 34,214,258 ;Junio;2025
Neyba; 11,932,836 ; 14,228,396 ;Junio;2025
Barahona; 19,026,939 ; 16,962,113 ;Junio;2025
San Juan de la Maguana ; 45,524,643 ; 50,633,675 ;Junio;2025
Comendador; 14,223,745 ; 11,337,913 ;Junio;2025
Nagua; 80,970,740 ; 80,586,997 ;Junio;2025
Arenoso; 118,806,470 ; 102,407,577 ;Junio;2025
Samaná; 17,124,952 ; 18,603,586 ;Junio;2025
Río San Juan; 40,942,222 ; 31,038,168 ;Junio;2025
Villa Riva; 30,024,779 ; 38,631,577 ;Junio;2025
San Francisco de Macorís; 147,219,741 ; 144,314,713 ;Junio;2025
Santiago; 115,355,978 ; 119,576,183 ;Junio;2025
Moca; 78,326,138 ; 92,984,785 ;Junio;2025
San José de las Matas; 28,603,126 ; 16,205,841 ;Junio;2025
Constanza; 70,329,219 ; 104,863,780 ;Junio;2025
La Vega; 232,232,200 ; 135,625,573 ;Junio;2025
Santiago Rodríguez; 14,611,789 ; 24,171,441 ;Junio;2025
Montecristi; 64,562,416 ; 61,465,698 ;Junio;2025
Puerto Plata; 33,352,350 ; 46,990,787 ;Junio;2025
Mao Valverde ; 73,220,324 ; 81,977,694 ;Junio;2025
Dajabón; 22,257,097 ; 31,032,966 ;Junio;2025
San José de Ocoa; 75,050,041 ; 64,840,627 ;Junio;2025
Bonao; 71,213,041 ; 86,066,434 ;Junio;2025
San Cristóbal; 8,949,507 ; 16,314,329 ;Junio;2025
Salcedo; 43,239,703 ; 73,358,074 ;Junio;2025
Cotuí; 72,526,223 ; 70,025,371 ;Junio;2025
Santo Domingo; 119,207,063 ; 301,859,917 ;Julio;2025
El Seibo; 44,327,893 ; 18,141,004 ;Julio;2025
Higüey; 35,229,987 ; 45,182,277 ;Julio;2025
Hato Mayor; 27,366,678 ; 29,284,885 ;Julio;2025
Monte Plata; 142,394,042 ; 39,594,278 ;Julio;2025
Azua; 95,670,816 ; 44,592,827 ;Julio;2025
Baní; 44,489,524 ; 36,601,005 ;Julio;2025
Neyba; 12,750,435 ; 13,437,421 ;Julio;2025
Barahona; 9,690,650 ; 56,657,879 ;Julio;2025
San Juan de la Maguana ; 116,643,737 ; 43,818,688 ;Julio;2025
Comendador; 30,952,112 ; 22,176,508 ;Julio;2025
Nagua; 94,984,500 ; 37,217,117 ;Julio;2025
Arenoso; 86,403,380 ; 31,111,643 ;Julio;2025
