Sucursal;Cantidad de Préstamos;Valor (RD$);Mes;Año
San Jose de las Matas;935;578,093,692;Septiembre;2017
Puerto Plata;1,847;544,589,612;Septiembre;2017
San Cristobal;1,244;639,078,012;Septiembre;2017
Bani;775;543,439,959;Septiembre;2017
San Jose de Ocoa;1,157;1,618,349,362;Septiembre;2017
Azua;1,953;633,177,370;Septiembre;2017
Santo Domingo;1,929;2,001,635,866;Octubre;2017
Monte Plata;1,305;1,117,114,691;Octubre;2017
Hato Mayor;1,137;700,524,710;Octubre;2017
El Seibo;1,113;317,673,977;Octubre;2017
Higuey;1,137;777,248,478;Octubre;2017
San Juan de la Maguana ;4,522;1,413,841,014;Octubre;2017
Barahona;2,091;584,542,771;Octubre;2017
Neyba;1,707;484,885,292;Octubre;2017
Comendador;1,779;322,856,427;Octubre;2017
San Francisco de Macoris;759;721,953,422;Octubre;2017
Cotui;1,898;1,074,399,416;Octubre;2017
Villa Riva;1,012;307,659,173;Octubre;2017
Arenoso;703;254,729,973;Octubre;2017
Rio San Juan;956;444,155,839;Octubre;2017
Nagua;973;429,724,312;Octubre;2017
Samana;1,249;298,946,917;Octubre;2017
La Vega;837;862,616,945;Octubre;2017
Bonao;556;473,334,819;Octubre;2017
Constanza;1,233;781,326,890;Octubre;2017
Salcedo;826;391,066,338;Octubre;2017
Moca;959;637,450,554;Octubre;2017
Santiago;459;448,672,558;Octubre;2017
Valverde Mao;942;1,425,006,394;Octubre;2017
Montecristy;878;1,241,691,234;Octubre;2017
Santiago Rodriguez;1,656;760,140,461;Octubre;2017
Dajabón;1,119;466,180,824;Octubre;2017
San Jose de las Matas;943;576,532,769;Octubre;2017
Puerto Plata;1,836;569,482,931;Octubre;2017
San Cristobal;1,258;649,474,294;Octubre;2017
Bani;773;563,143,256;Octubre;2017
San Jose de Ocoa;1,137;1,624,775,543;Octubre;2017
Azua;1,940;654,187,686;Octubre;2017
Santo Domingo;1,962;2,115,392,040;Noviembre;2017
Monte Plata;1,323;1,199,050,918;Noviembre;2017
Hato Mayor;1,170;712,625,538;Noviembre;2017
El Seibo;1,114;321,521,629;Noviembre;2017
Higuey;1,129;774,991,381;Noviembre;2017
San Juan de la Maguana ;4,556;1,484,139,716;Noviembre;2017
Barahona;2,092;511,790,338;Noviembre;2017
Neyba;1,688;501,714,856;Noviembre;2017
Comendador;1,759;316,366,652;Noviembre;2017
San Francisco de Macoris;782;722,578,021;Noviembre;2017
Cotui;1,879;1,076,562,142;Noviembre;2017
Villa Riva;1,011;308,420,277;Noviembre;2017
Arenoso;772;263,726,022;Noviembre;2017
Rio San Juan;944;439,919,136;Noviembre;2017
Nagua;988;423,973,816;Noviembre;2017
Samana;1,270;314,815,657;Noviembre;2017
La Vega;909;897,333,857;Noviembre;2017
Bonao;559;493,202,847;Noviembre;2017
Constanza;1,233;786,240,108;Noviembre;2017
Salcedo;852;391,633,762;Noviembre;2017
Moca;955;641,141,093;Noviembre;2017
Santiago;467;452,486,648;Noviembre;2017
Valverde Mao;936;1,332,352,345;Noviembre;2017
Montecristy;888;580,458,904;Noviembre;2017
Santiago Rodriguez;1,638;761,911,960;Noviembre;2017
Dajabón;1,147;479,957,161;Noviembre;2017
San Jose de las Matas;939;579,072,349;Noviembre;2017
Puerto Plata;1,835;583,414,932;Noviembre;2017
San Cristobal;1,268;676,478,805;Noviembre;2017
Bani;779;571,401,996;Noviembre;2017
San Jose de Ocoa;1,126;1,651,146,021;Noviembre;2017
Azua;1,941;686,399,876;Noviembre;2017
Santo Domingo;2,005;2,377,933,342;Diciembre;2017
Monte Plata;1,345;1,260,035,411;Diciembre;2017
Hato Mayor;1,197;738,974,730;Diciembre;2017
El Seibo;1,142;337,202,224;Diciembre;2017
Higuey;1,146;796,671,959;Diciembre;2017
San Juan de la Maguana ;4,555;1,459,319,320;Diciembre;2017
Barahona;2,094;533,242,065;Diciembre;2017
Neyba;1,736;506,880,810;Diciembre;2017
Comendador;1,726;315,409,421;Diciembre;2017
San Francisco de Macoris;905;759,746,649;Diciembre;2017
Cotui;1,971;1,071,301,091;Diciembre;2017
Villa Riva;1,150;384,556,549;Diciembre;2017
Arenoso;888;315,274,700;Diciembre;2017
Rio San Juan;1,106;471,345,768;Diciembre;2017
Nagua;1,173;452,413,228;Diciembre;2017
Samana;1,315;330,989,345;Diciembre;2017
La Vega;1,087;1,007,677,215;Diciembre;2017
Bonao;610;508,670,655;Diciembre;2017
Constanza;1,247;780,514,971;Diciembre;2017
Salcedo;869;406,281,001;Diciembre;2017
Moca;948;657,023,855;Diciembre;2017
Santiago;486;480,434,765;Diciembre;2017
Valverde Mao;1,190;1,439,829,675;Diciembre;2017
Montecristy;1,170;604,474,213;Diciembre;2017
Santiago Rodriguez;1,634;801,708,067;Diciembre;2017
Dajabón;1,211;495,147,520;Diciembre;2017
San Jose de las Matas;927;632,417,807;Diciembre;2017
Puerto Plata;1,859;606,192,360;Diciembre;2017
San Cristobal;1,288;711,975,476;Diciembre;2017
Bani;784;585,446,144;Diciembre;2017
San Jose de Ocoa;1,116;1,679,064,146;Diciembre;2017
Azua;1,969;735,023,826;Diciembre;2017
Santo Domingo;1,946;2,314,596,355;Enero;2018
Monte Plata;1,312;1,150,168,527;Enero;2018
Hato Mayor;1,181;789,518,430;Enero;2018
El Seibo;1,124;335,339,235;Enero;2018
Higuey;1,106;796,521,549;Enero;2018
San Juan de la Maguana ;4,449;1,455,739,040;Enero;2018
Barahona;2,065;540,474,631;Enero;2018
Neyba;1,668;497,889,177;Enero;2018
Comendador;1,669;303,193,721;Enero;2018
San Francisco de Macoris;912;748,803,745;Enero;2018
Cotui;1,951;1,098,865,682;Enero;2018
Villa Riva;1,196;491,380,079;Enero;2018
Arenoso;895;334,531,962;Enero;2018
Rio San Juan;1,087;453,505,173;Enero;2018
Nagua;1,188;469,125,106;Enero;2018
Samana;1,298;322,568,488;Enero;2018
La Vega;1,104;1,019,245,296;Enero;2018
Bonao;590;517,512,887;Enero;2018
Constanza;1,165;787,206,670;Enero;2018
Salcedo;861;412,045,868;Enero;2018
Moca;933;656,999,860;Enero;2018
Santiago;494;431,916,513;Enero;2018
Valverde Mao;1,162;1,453,537,564;Enero;2018
Montecristy;1,214;697,573,184;Enero;2018
Santiago Rodriguez;1,571;740,185,967;Enero;2018
Dajabón;1,214;490,698,093;Enero;2018
San Jose de las Matas;913;624,807,325;Enero;2018
Puerto Plata;1,871;609,646,568;Enero;2018
San Cristobal;1,245;691,723,390;Enero;2018
Bani;747;571,725,347;Enero;2018
San Jose de Ocoa;1,097;1,676,572,064;Enero;2018
Azua;1,950;700,794,114;Enero;2018
Santo Domingo;1,937;2,489,323,772;Febrero;2018
Monte Plata;1,321;1,250,502,975;Febrero;2018
Hato Mayor;1,172;909,681,142;Febrero;2018
El Seibo;1,111;352,781,885;Febrero;2018
Higuey;1,089;776,209,403;Febrero;2018
San Juan de la Maguana ;4,324;1,431,716,473;Febrero;2018
Barahona;2,060;575,922,194;Febrero;2018
Neyba;1,663;502,368,016;Febrero;2018
Comendador;1,640;299,259,702;Febrero;2018
San Francisco de Macoris;931;776,086,072;Febrero;2018
Cotui;1,976;1,136,270,553;Febrero;2018
Villa Riva;1,204;498,297,245;Febrero;2018
Arenoso;903;342,051,518;Febrero;2018
Rio San Juan;1,078;456,584,458;Febrero;2018
Nagua;1,202;491,647,674;Febrero;2018
Samana;1,297;326,709,214;Febrero;2018
La Vega;1,116;1,014,357,124;Febrero;2018
Bonao;584;511,814,002;Febrero;2018
Constanza;1,148;787,311,972;Febrero;2018
Salcedo;846;421,744,041;Febrero;2018
Moca;930;653,723,759;Febrero;2018
Santiago;493;445,112,197;Febrero;2018
Valverde Mao;1,164;1,526,119,669;Febrero;2018
Montecristy;1,231;736,583,404;Febrero;2018
Santiago Rodriguez;1,574;749,110,596;Febrero;2018
Dajabón;1,220;490,428,488;Febrero;2018
San Jose de las Matas;920;621,913,769;Febrero;2018
Puerto Plata;1,888;606,119,088;Febrero;2018
San Cristobal;1,220;706,141,281;Febrero;2018
Bani;729;565,122,876;Febrero;2018
San Jose de Ocoa;1,088;1,697,533,790;Febrero;2018
Azua;1,941;704,195,212;Febrero;2018
Santo Domingo;1,972;2,577,659,768;Marzo;2018
Monte Plata;1,330;1,309,135,868;Marzo;2018
Hato Mayor;1,151;909,570,628;Marzo;2018
El Seibo;1,097;362,455,511;Marzo;2018
Higuey;1,086;777,645,044;Marzo;2018
San Juan de la Maguana ;4,282;1,383,157,542;Marzo;2018
Barahona;2,047;572,386,126;Marzo;2018
Neyba;1,662;501,335,423;Marzo;2018
Comendador;1,596;292,578,715;Marzo;2018
San Francisco de Macoris;927;777,621,808;Marzo;2018
Cotui;2,003;1,155,417,409;Marzo;2018
Villa Riva;1,188;496,904,639;Marzo;2018
Arenoso;908;368,720,759;Marzo;2018
Rio San Juan;1,066;466,521,201;Marzo;2018
Nagua;1,155;491,273,884;Marzo;2018
Samana;1,291;324,290,086;Marzo;2018
La Vega;1,091;1,028,390,567;Marzo;2018
Bonao;579;496,491,695;Marzo;2018
Constanza;1,143;783,942,226;Marzo;2018
Salcedo;846;429,399,535;Marzo;2018
Moca;905;672,595,439;Marzo;2018
Santiago;500;449,176,503;Marzo;2018
Valverde Mao;1,160;1,619,991,559;Marzo;2018
Montecristy;1,179;786,395,493;Marzo;2018
Santiago Rodriguez;1,574;777,042,227;Marzo;2018
Dajabón;1,226;510,974,909;Marzo;2018
San Jose de las Matas;919;636,287,839;Marzo;2018
Puerto Plata;1,865;610,600,565;Marzo;2018
San Cristobal;1,231;723,378,625;Marzo;2018
Bani;711;578,469,842;Marzo;2018
San Jose de Ocoa;1,077;1,694,791,766;Marzo;2018
Azua;1,909;726,937,853;Marzo;2018
Santo Domingo;1,953;2,135,830,955;Abril;2018
Monte Plata;1,314;1,228,138,755;Abril;2018
Hato Mayor;1,125;907,295,028;Abril;2018
El Seibo;1,103;384,538,409;Abril;2018
Higuey;1,024;761,023,915;Abril;2018
San Juan de la Maguana ;4,258;1,389,726,918;Abril;2018
Barahona;2,042;576,080,652;Abril;2018
Neyba;1,639;516,108,553;Abril;2018
Comendador;1,577;296,268,232;Abril;2018
San Francisco de Macoris;888;801,549,453;Abril;2018
Cotui;1,970;1,247,691,846;Abril;2018
Villa Riva;1,121;470,603,527;Abril;2018
Arenoso;793;331,024,765;Abril;2018
Rio San Juan;1,043;473,079,369;Abril;2018
Nagua;962;472,255,325;Abril;2018
Samana;1,289;330,047,493;Abril;2018
La Vega;900;976,879,312;Abril;2018
Bonao;558;467,147,383;Abril;2018
Constanza;1,123;772,422,108;Abril;2018
Salcedo;827;422,445,732;Abril;2018
Moca;909;678,629,907;Abril;2018
Santiago;502;408,795,332;Abril;2018
Valverde Mao;1,115;1,686,233,038;Abril;2018
Montecristy;1,088;784,882,847;Abril;2018
Santiago Rodriguez;1,566;761,963,075;Abril;2018
Dajabón;1,217;509,926,959;Abril;2018
San Jose de las Matas;917;636,655,465;Abril;2018
Puerto Plata;1,847;613,536,277;Abril;2018
San Cristobal;1,196;717,182,727;Abril;2018
Bani;711;591,388,137;Abril;2018
San Jose de Ocoa;1,096;1,728,613,970;Abril;2018
Azua;1,908;730,266,344;Abril;2018
Santo Domingo;1,936;2,082,327,048;Mayo;2018
Monte Plata;1,325;1,283,635,958;Mayo;2018
Hato Mayor;1,122;933,560,961;Mayo;2018
El Seibo;1,069;379,991,661;Mayo;2018
Higuey;1,017;746,714,298;Mayo;2018
San Juan de la Maguana ;4,250;1,425,021,776;Mayo;2018
Barahona;2,039;613,248,650;Mayo;2018
Neyba;1,636;520,652,114;Mayo;2018
Comendador;1,562;293,178,426;Mayo;2018
San Francisco de Macoris;887;808,195,867;Mayo;2018
