DESTINO; CANTIDAD ; VALORES ;  TAREAS; BENEFICIADOS ;MES;AÑO
Porcino (Producción);51;25,474,900;0;51;Septiembre;2017
Porcino (Comercialización);0;0;0;0;Septiembre;2017
Otros Pecuarios;30;13,170,708;0;30;Septiembre;2017
Gallinas Ponedoras;6;5,700,000;0;6;Septiembre;2017
Pollos de Engorde;41;40,890,000;0;41;Septiembre;2017
Otros Avícolas;1;40,000;0;1;Septiembre;2017
Apícola;2;945,000;0;2;Septiembre;2017
Préstamos de Consumo;170;47,768,208;0;170;Septiembre;2017
Agro. Manufactura, Comercio V. y Otros;83;73,278,025;0;83;Septiembre;2017
Arroz (Producción);3;900,000;200;3;Octubre;2017
Arroz (Comercialización);16;292,235,000;0;16;Octubre;2017
Aguacate (Producción);26;7,370,000;1,230;26;Octubre;2017
Ají (Producción);15;20,710,000;356;15;Octubre;2017
Café (Producción);24;5,079,000;1,335;24;Octubre;2017
Café (Comercialización);3;27,100,000;0;3;Octubre;2017
Cacao (Producción);85;19,364,000;8,256;85;Octubre;2017
Cacao (Comercialización);12;363,950,000;0;12;Octubre;2017
Habichuela (Producción);64;13,919,000;3,830;64;Octubre;2017
Habichuela (Comercialización);0;0;0;0;Octubre;2017
Plátano;45;15,025,124;2,699;45;Octubre;2017
Guineo;14;11,410,885;1,136;14;Octubre;2017
Maíz (Producción);2;222,000;215;2;Octubre;2017
Maíz (Comercialización);0;0;0;0;Octubre;2017
Yuca;11;1,625,000;585;11;Octubre;2017
Yautía;12;1,625,000;310;12;Octubre;2017
Tomate Industrial;0;0;0;0;Octubre;2017
Tomate de Mesa;21;14,755,000;465;21;Octubre;2017
Coco (Producción);6;16,590,000;1,355;6;Octubre;2017
Coco (Comercialización);0;0;0;0;Octubre;2017
Guandul (Producción);2;140,000;90;2;Octubre;2017
Guandul (Comercialización);0;0;0;0;Octubre;2017
Papa;42;24,686,880;1,159;42;Octubre;2017
Piña;28;17,935,000;1,183;28;Octubre;2017
Cebolla;32;13,589,320;786;32;Octubre;2017
Ñame;16;3,700,000;769;16;Octubre;2017
Ajo (Producción);17;13,950,000;414;17;Octubre;2017
Ajo (Comercialización);1;31,000,000;0;1;Octubre;2017
Batata;10;1,500,000;560;10;Octubre;2017
Tabaco (Producción);0;0;0;0;Octubre;2017
Tabaco (Comercialización);1;200,000;0;1;Octubre;2017
Invernadero;0;0;0;0;Octubre;2017
Otros Agrícolas;139;659,866,090;19,329;216;Octubre;2017
Ganado de Carne;66;38,555,500;0;66;Octubre;2017
Ganado de Carne (Com);5;3,125,000;0;5;Octubre;2017
Ganado de Leche;27;20,917,300;0;27;Octubre;2017
