DESTINO; CANTIDAD ; VALORES ;  TAREAS; BENEFICIADOS ;MES;AÑO
Porcino (Comercialización);0;0;0;0;Junio;2021
Otros;67;122,694,300;0;67;Junio;2021
Gallinas Ponedoras;3;2,600,000;0;3;Junio;2021
Pollos de Engorde;46;30,043,130;0;46;Junio;2021
Otros;1;4,000,000;0;1;Junio;2021
Apícola;1;200,000;0;1;Junio;2021
Préstamos de Consumo;160;44,751,076;0;160;Junio;2021
Agro. Manufactura, Comercio V. y Otros;515;698,086,939;0;515;Junio;2021
Arroz (Producción);369;286,366,750;56,234;369;Julio;2021
Arroz (Comercialización);15;99,180,000;0;15;Julio;2021
Aguacate (Producción);151;73,039,015;6,453;151;Julio;2021
Ají (Producción);14;12,254,000;177;14;Julio;2021
Café (Producción);57;22,695,000;3,465;57;Julio;2021
Café (Comercialización);0;0;0;0;Julio;2021
Cacao (Producción);288;112,090,000;29,771;288;Julio;2021
Cacao (Comercialización);6;25,300,000;0;6;Julio;2021
Habichuela (Producción);0;0;0;0;Julio;2021
Habichuela (Comercialización);0;0;0;0;Julio;2021
Plátano;41;43,082,000;5,502;41;Julio;2021
Guineo;40;144,609,328;5,295;40;Julio;2021
Maíz (Producción);2;1,000,000;840;2;Julio;2021
Maíz (Comercialización);0;0;0;0;Julio;2021
Yuca;11;1,765,000;468;11;Julio;2021
Yautía;13;2,635,000;387;13;Julio;2021
Tomate Industrial;0;0;0;0;Julio;2021
Tomate de Mesa;15;7,200,000;237;15;Julio;2021
Coco (Producción);17;11,000,000;2,543;17;Julio;2021
Coco (Comercialización);0;0;0;0;Julio;2021
Guandul (Producción);2;240,000;130;2;Julio;2021
Guandul (Comercialización);0;0;0;0;Julio;2021
Papa;37;25,793,000;1,027;37;Julio;2021
Piña;13;11,225,000;629;13;Julio;2021
Cebolla;10;495,250,000;430;10;Julio;2021
Ñame;6;940,000;111;6;Julio;2021
Ajo (Producción);0;0;0;0;Julio;2021
Ajo (Comercialización);0;0;0;0;Julio;2021
Batata;5;1,290,000;303;5;Julio;2021
Tabaco (Producción);0;0;0;0;Julio;2021
Tabaco (Comercialización);17;131,940,525;0;17;Julio;2021
Invernadero;0;0;0;0;Julio;2021
Otros;196;344,082,210;15,153;196;Julio;2021
Ganado de Carne;48;44,997,000;0;48;Julio;2021
Ganado de Carne (Com);7;2,940,000;0;7;Julio;2021
Ganado de Leche;24;31,708,000;0;24;Julio;2021
Ganado de Leche (Com.);0;0;0;0;Julio;2021
Ganado de Doble Propósito;79;121,839,248;0;79;Julio;2021
Porcino (Producción);41;22,550,000;0;41;Julio;2021
Porcino (Comercialización);1;350,000;0;1;Julio;2021
Otros;61;122,479,641;0;61;Julio;2021
Gallinas Ponedoras;8;18,550,000;0;8;Julio;2021
Pollos de Engorde;48;27,936,000;0;48;Julio;2021
Otros;0;0;0;0;Julio;2021
Apícola;0;0;0;0;Julio;2021
Préstamos de Consumo;161;32,001,845;0;161;Julio;2021
Agro. Manufactura, Comercio V. y Otros;245;467,662,754;0;245;Julio;2021
Arroz (Producción);115;51,746,800;10,904;115;Agosto;2021
Arroz (Comercialización);37;344,520,240;0;37;Agosto;2021
Aguacate (Producción);118;61,920,000;4,606;118;Agosto;2021
Ají (Producción);20;34,037,000;37,359;20;Agosto;2021
Café (Producción);48;27,425,000;3,511;48;Agosto;2021
Café (Comercialización);0;0;0;0;Agosto;2021
Cacao (Producción);231;172,282,500;49,074;231;Agosto;2021
Cacao (Comercialización);5;21,190,000;0;5;Agosto;2021
Habichuela (Producción);1;50,000;18;1;Agosto;2021
Habichuela (Comercialización);0;0;0;0;Agosto;2021
Plátano;46;20,720,000;2,473;46;Agosto;2021
Guineo;15;39,688,351;3,363;15;Agosto;2021
Maíz (Producción);5;516,000;233;5;Agosto;2021
Maíz (Comercialización);0;0;0;0;Agosto;2021
Yuca;18;4,330,000;894;18;Agosto;2021
Yautía;7;1,795,000;230;7;Agosto;2021
Tomate Industrial;0;0;0;0;Agosto;2021
Tomate de Mesa;16;20,050,000;15,104;16;Agosto;2021
Coco (Producción);17;13,920,000;2,281;17;Agosto;2021
Coco (Comercialización);1;325,000;0;1;Agosto;2021
Guandul (Producción);1;100,000;58;1;Agosto;2021
Guandul (Comercialización);0;0;0;0;Agosto;2021
Papa;23;39,136,000;1,813;23;Agosto;2021
Piña;12;28,320,000;1,858;12;Agosto;2021
Cebolla;13;10,058,000;466;13;Agosto;2021
Ñame;2;500,000;50;2;Agosto;2021
Ajo (Producción);1;10,000,000;250;1;Agosto;2021
Ajo (Comercialización);0;0;0;0;Agosto;2021
Batata;4;299,000;93;4;Agosto;2021
Tabaco (Producción);0;0;0;0;Agosto;2021
Tabaco (Comercialización);3;3,015,455;0;3;Agosto;2021
Invernadero;2;8,199,800;6;2;Agosto;2021
Otros;155;149,935,061;10,277;155;Agosto;2021
Ganado de Carne;48;52,370,000;0;48;Agosto;2021
Ganado de Carne (Com);4;1,150,000;0;4;Agosto;2021
Ganado de Leche;20;14,735,000;0;20;Agosto;2021
Ganado de Leche (Com.);1;250,000;0;1;Agosto;2021
Ganado de Doble Propósito;65;93,267,000;0;65;Agosto;2021
Porcino (Producción);1;4,000,000;0;1;Agosto;2021
Porcino (Comercialización);0;0;0;0;Agosto;2021
Otros;59;78,356,500;0;59;Agosto;2021
Gallinas Ponedoras;15;104,030,000;0;15;Agosto;2021
Pollos de Engorde;44;30,471,000;0;44;Agosto;2021
Otros;1;500,000;0;1;Agosto;2021
Apícola;4;1,725,000;0;4;Agosto;2021
Préstamos de Consumo;160;30,008,118;0;160;Agosto;2021
Agro. Manufactura, Comercio V. y Otros;373;549,498,656;0;373;Agosto;2021
Arroz (Producción);26;18,409,027;3,969;26;Septiembre;2021
Arroz (Comercialización);23;214,942,240;0;23;Septiembre;2021
Aguacate (Producción);101;58,405,000;5,343;101;Septiembre;2021
Ají (Producción);28;56,188,000;46,891;28;Septiembre;2021
Café (Producción);45;56,700,000;5,778;45;Septiembre;2021
Café (Comercialización);0;0;0;0;Septiembre;2021
Cacao (Producción);188;81,725,300;20,642;188;Septiembre;2021
Cacao (Comercialización);6;23,850,000;0;6;Septiembre;2021
Habichuela (Producción);1;200,000;70;1;Septiembre;2021
Habichuela (Comercialización);0;0;0;0;Septiembre;2021
Plátano;32;19,320,000;2,394;32;Septiembre;2021
Guineo;5;3,228,980;249;5;Septiembre;2021
Maíz (Producción);1;50,000;50;1;Septiembre;2021
Maíz (Comercialización);0;0;0;0;Septiembre;2021
Yuca;10;7,675,000;1,921;10;Septiembre;2021
Yautía;7;1,900,000;210;7;Septiembre;2021
Tomate Industrial;0;0;0;0;Septiembre;2021
Tomate de Mesa;15;32,165,000;5,763;15;Septiembre;2021
Coco (Producción);24;19,705,000;3,947;24;Septiembre;2021
Coco (Comercialización);1;100,000;0;1;Septiembre;2021
Guandul (Producción);3;234,000;117;3;Septiembre;2021
Guandul (Comercialización);0;0;0;0;Septiembre;2021
Papa;26;27,180,400;674;26;Septiembre;2021
Piña;9;5,630,000;364;9;Septiembre;2021
Cebolla;11;14,044,000;461;11;Septiembre;2021
Ñame;8;1,855,000;191;8;Septiembre;2021
Ajo (Producción);0;0;0;0;Septiembre;2021
Ajo (Comercialización);7;89,606,400;0;7;Septiembre;2021
Batata;3;1,980,000;560;3;Septiembre;2021
Tabaco (Producción);0;0;0;0;Septiembre;2021
Tabaco (Comercialización);9;57,435,260;0;9;Septiembre;2021
Invernadero;14;47,736,668;61;14;Septiembre;2021
Otros;154;146,496,452;15,315;154;Septiembre;2021
Ganado de Carne;51;27,815,000;0;51;Septiembre;2021
Ganado de Carne (Com);4;19,370,742;0;4;Septiembre;2021
Ganado de Leche;7;7,900,000;0;7;Septiembre;2021
Ganado de Leche (Com.);1;620,000;0;1;Septiembre;2021
Ganado de Doble Propósito;53;61,335,000;0;53;Septiembre;2021
Porcino (Producción);0;0;0;0;Septiembre;2021
Porcino (Comercialización);0;0;0;0;Septiembre;2021
Otros;58;144,129,431;0;58;Septiembre;2021
Gallinas Ponedoras;11;21,380,000;0;11;Septiembre;2021
Pollos de Engorde;41;93,305,000;0;41;Septiembre;2021
Otros;0;0;0;0;Septiembre;2021
Apícola;5;1,105,000;0;5;Septiembre;2021
Préstamos de Consumo;185;35,998,729;0;185;Septiembre;2021
Agro. Manufactura, Comercio V. y Otros;103;193,294,570;0;103;Septiembre;2021
Arroz (Producción);11;6,029,452;1,015;11;Octubre;2021
Arroz (Comercialización);16;180,266,800;0;16;Octubre;2021
Aguacate (Producción);76;68,820,000;2,964;76;Octubre;2021
Ají (Producción);32;68,775,000;46,846;32;Octubre;2021
Café (Producción);37;10,971,158;1,945;37;Octubre;2021
Café (Comercialización);0;0;0;0;Octubre;2021
Cacao (Producción);114;50,356,000;11,582;114;Octubre;2021
Cacao (Comercialización);6;14,525,000;0;6;Octubre;2021
Habichuela (Producción);77;15,342,767;3,054;77;Octubre;2021
Habichuela (Comercialización);0;0;0;0;Octubre;2021
Plátano;42;20,204,151;2,726;42;Octubre;2021
Guineo;5;7,315,000;467;5;Octubre;2021
Maíz (Producción);1;105,000;30;1;Octubre;2021
Maíz (Comercialización);0;0;0;0;Octubre;2021
Yuca;7;1,450,000;365;7;Octubre;2021
Yautía;8;3,500,000;410;8;Octubre;2021
Tomate Industrial;1;70,000,000;0;1;Octubre;2021
Tomate de Mesa;10;17,194,526;10,697;10;Octubre;2021
Coco (Producción);12;70,761,765;11,749;12;Octubre;2021
Coco (Comercialización);1;300,000;0;1;Octubre;2021
Guandul (Producción);1;200,000;80;1;Octubre;2021
Guandul (Comercialización);0;0;0;0;Octubre;2021
Papa;36;63,513,000;1,127;36;Octubre;2021
Piña;7;4,825,000;285;7;Octubre;2021
Cebolla;35;271,738,696;2,916;35;Octubre;2021
Ñame;7;1,800,000;180;7;Octubre;2021
Ajo (Producción);2;2,400,000;60;2;Octubre;2021
Ajo (Comercialización);3;111,098,000;0;3;Octubre;2021
Batata;6;1,430,000;375;6;Octubre;2021
Tabaco (Producción);6;1,579,000;174;6;Octubre;2021
Tabaco (Comercialización);10;72,112,734;0;10;Octubre;2021
Invernadero;19;58,415,139;194;19;Octubre;2021
Otros;132;161,555,453;38,142;132;Octubre;2021
Ganado de Carne;58;64,025,450;0;58;Octubre;2021
Ganado de Carne (Com);6;20,537,988;0;6;Octubre;2021
Ganado de Leche;16;16,190,000;0;16;Octubre;2021
Ganado de Leche (Com.);0;0;0;0;Octubre;2021
Ganado de Doble Propósito;44;50,367,500;0;44;Octubre;2021
Porcino (Producción);3;3,450,000;0;3;Octubre;2021
Porcino (Comercialización);2;17,733,584;0;2;Octubre;2021
Otros;36;46,144,571;0;36;Octubre;2021
Gallinas Ponedoras;4;9,460,000;0;4;Octubre;2021
Pollos de Engorde;45;81,096,675;0;45;Octubre;2021
Otros;0;0;0;0;Octubre;2021
Apícola;4;720,000;0;4;Octubre;2021
Préstamos de Consumo;182;43,631,648;0;182;Octubre;2021
Agro. Manufactura, Comercio V. y Otros;84;110,693,244;0;84;Octubre;2021
Arroz (Producción);1,048;473,579,121;90,040;1,076;Noviembre;2021
Arroz (Comercialización);31;364,627,040;0;31;Noviembre;2021
Aguacate (Producción);64;38,727,422;3,466;64;Noviembre;2021
Ají (Producción);13;22,070,000;279;13;Noviembre;2021
Café (Producción);39;8,670,542;1,156;39;Noviembre;2021
Café (Comercialización);1;1,200,000;0;1;Noviembre;2021
Cacao (Producción);94;40,297,933;8,378;94;Noviembre;2021
Cacao (Comercialización);4;290,300,000;0;4;Noviembre;2021
Habichuela (Producción);112;30,931,821;7,698;112;Noviembre;2021
Habichuela (Comercialización);0;0;0;0;Noviembre;2021
Plátano;50;25,452,500;2,758;50;Noviembre;2021
Guineo;5;17,350,000;1,210;5;Noviembre;2021
Maíz (Producción);0;0;0;0;Noviembre;2021
Maíz (Comercialización);1;800,000;0;1;Noviembre;2021
Yuca;10;3,587,069;775;10;Noviembre;2021
Yautía;4;842,500;175;4;Noviembre;2021
Tomate Industrial;1;210,000;18;1;Noviembre;2021
Tomate de Mesa;5;10,185,380;87;5;Noviembre;2021
Coco (Producción);18;28,320,000;4,492;18;Noviembre;2021
Coco (Comercialización);0;0;0;0;Noviembre;2021
Guandul (Producción);1;70,000;30;1;Noviembre;2021
Guandul (Comercialización);0;0;0;0;Noviembre;2021
Papa;31;101,157,159;829;31;Noviembre;2021
Piña;15;6,570,000;380;15;Noviembre;2021
Cebolla;77;20,601,368;1,739;77;Noviembre;2021
Ñame;8;1,800,000;180;8;Noviembre;2021
Ajo (Producción);78;109,975,000;2,180;78;Noviembre;2021
Ajo (Comercialización);1;50,000,000;0;1;Noviembre;2021
Batata;3;1,000,000;238;3;Noviembre;2021
Tabaco (Producción);13;4,529,000;465;13;Noviembre;2021
Tabaco (Comercialización);10;43,780,282;0;10;Noviembre;2021
Invernadero;9;21,680,764;114;9;Noviembre;2021
Otros;143;405,516,061;14,874;143;Noviembre;2021
Ganado de Carne;72;78,831,799;0;72;Noviembre;2021
Ganado de Carne (Com);5;8,602,225;0;5;Noviembre;2021
Ganado de Leche;16;17,597,000;0;16;Noviembre;2021
Ganado de Leche (Com.);0;0;0;0;Noviembre;2021
Ganado de Doble Propósito;46;83,220,000;0;46;Noviembre;2021
Porcino (Producción);1;8,500,000;0;1;Noviembre;2021
Porcino (Comercialización);0;0;0;0;Noviembre;2021
Otros;50;36,692,520;0;50;Noviembre;2021
Gallinas Ponedoras;7;17,400,000;0;7;Noviembre;2021
Pollos de Engorde;80;128,096,250;0;80;Noviembre;2021
Otros;1;250,000;0;1;Noviembre;2021
Apícola;3;1,050,000;0;3;Noviembre;2021
Préstamos de Consumo;200;50,189,138;0;200;Noviembre;2021
Agro. Manufactura, Comercio V. y Otros;95;467,520,507;0;95;Noviembre;2021
Arroz (Producción);1,521;672,091,551;126,969;1,527;Diciembre;2021
Arroz (Comercialización);24;172,282,400;0;24;Diciembre;2021
Aguacate (Producción);63;83,558,500;3,850;63;Diciembre;2021
Ají (Producción);15;14,983,000;319;15;Diciembre;2021
Café (Producción);52;56,278,155;11,562;52;Diciembre;2021
Café (Comercialización);3;22,500,000;0;3;Diciembre;2021
Cacao (Producción);62;43,322,750;8,206;62;Diciembre;2021
Cacao (Comercialización);5;139,790,000;0;5;Diciembre;2021
Habichuela (Producción);34;11,052,000;2,894;34;Diciembre;2021
Habichuela (Comercialización);0;0;0;0;Diciembre;2021
Plátano;71;42,018,748;5,086;85;Diciembre;2021
Guineo;4;4,850,000;455;4;Diciembre;2021
Maíz (Producción);2;109,000;55;2;Diciembre;2021
Maíz (Comercialización);1;600,000;0;1;Diciembre;2021
Yuca;15;3,120,000;605;15;Diciembre;2021
Yautía;3;850,000;104;3;Diciembre;2021
Tomate Industrial;0;0;0;0;Diciembre;2021
Tomate de Mesa;12;7,630,000;8,924;12;Diciembre;2021
Coco (Producción);16;11,960,000;2,321;16;Diciembre;2021
Coco (Comercialización);0;0;0;0;Diciembre;2021
Guandul (Producción);0;0;0;0;Diciembre;2021
Guandul (Comercialización);0;0;0;0;Diciembre;2021
Papa;29;35,250,000;1,367;29;Diciembre;2021
Piña;9;72,875,000;3,827;9;Diciembre;2021
Cebolla;37;107,915,500;774;37;Diciembre;2021
Ñame;6;2,300,000;250;6;Diciembre;2021
Ajo (Producción);56;59,410,000;1,126;56;Diciembre;2021
Ajo (Comercialización);0;0;0;0;Diciembre;2021
Batata;6;1,440,000;276;6;Diciembre;2021
Tabaco (Producción);9;2,705,500;309;9;Diciembre;2021
Tabaco (Comercialización);11;50,109,510;0;11;Diciembre;2021
Invernadero;6;25,214,315;91;6;Diciembre;2021
Otros;133;374,639,530;20,819;133;Diciembre;2021
Ganado de Carne;65;94,269,250;0;65;Diciembre;2021
Ganado de Carne (Com);5;3,315,656;0;5;Diciembre;2021
Ganado de Leche;25;62,346,000;0;25;Diciembre;2021
Ganado de Leche (Com.);1;400,000;0;1;Diciembre;2021
Ganado de Doble Propósito;38;48,882,500;0;38;Diciembre;2021
Porcino (Producción);3;10,800,000;0;3;Diciembre;2021
Porcino (Comercialización);2;5,804,772;0;2;Diciembre;2021
Otros;52;130,534,000;0;52;Diciembre;2021
Gallinas Ponedoras;8;22,050,000;0;8;Diciembre;2021
Pollos de Engorde;74;75,007,635;0;74;Diciembre;2021
Otros;1;1,575,000;0;1;Diciembre;2021
Apícola;4;750,000;0;4;Diciembre;2021
Préstamos de Consumo;183;46,018,495;0;183;Diciembre;2021
Agro. Manufactura, Comercio V. y Otros;174;503,666,271;0;174;Diciembre;2021
Arroz (Producción);469;308,609,370;59,231;469;Enero;2022
Arroz (Comercialización);3;11,546,833;0;3;Enero;2022
Aguacate (Producción);50;24,600,000;2,182;50;Enero;2022
Ají (Producción);14;11,789,000;4,970;14;Enero;2022
Café (Producción);39;18,328,896;2,696;39;Enero;2022
Café (Comercialización);0;0;0;0;Enero;2022
Cacao (Producción);53;17,395,000;4,049;53;Enero;2022
Cacao (Comercialización);6;220,975,000;0;6;Enero;2022
Habichuela (Producción);5;1,662,000;478;5;Enero;2022
Habichuela (Comercialización);0;0;0;0;Enero;2022
Plátano;42;23,313,000;2,578;42;Enero;2022
Guineo;2;770,000;58;2;Enero;2022
Maíz (Producción);3;220,000;105;3;Enero;2022
Maíz (Comercialización);0;0;0;0;Enero;2022
Yuca;5;546,500;160;5;Enero;2022
Yautía;7;2,615,000;549;7;Enero;2022
Tomate Industrial;0;0;0;0;Enero;2022
Tomate de Mesa;11;11,675,000;206;11;Enero;2022
Coco (Producción);11;10,114,000;1,474;11;Enero;2022
Coco (Comercialización);1;500,000;0;1;Enero;2022
Guandul (Producción);3;437,500;109;3;Enero;2022
Guandul (Comercialización);0;0;0;0;Enero;2022
Papa;22;12,770,000;493;22;Enero;2022
Piña;6;12,226,000;700;6;Enero;2022
Cebolla;16;18,951,000;716;16;Enero;2022
Ñame;6;1,910,000;190;6;Enero;2022
Ajo (Producción);30;26,930,000;353;30;Enero;2022
Ajo (Comercialización);0;0;0;0;Enero;2022
Batata;1;200,000;31;1;Enero;2022
Tabaco (Producción);6;2,347,000;276;6;Enero;2022
Tabaco (Comercialización);5;32,447,715;0;5;Enero;2022
Invernadero;2;5,877,200;5;2;Enero;2022
Otros;105;125,473,261;8,905;107;Enero;2022
Ganado de Carne;50;54,150,000;0;50;Enero;2022
Ganado de Carne (Com);3;1,300,000;0;3;Enero;2022
Ganado de Leche;24;25,423,000;0;24;Enero;2022
Ganado de Leche (Com.);0;0;0;0;Enero;2022
Ganado de Doble Propósito;37;36,151,000;0;37;Enero;2022
Porcino (Producción);0;0;0;0;Enero;2022
Porcino (Comercialización);0;0;0;0;Enero;2022
Otros;29;52,452,955;0;29;Enero;2022
Gallinas Ponedoras;14;27,700,000;0;14;Enero;2022
Pollos de Engorde;64;63,635,000;0;64;Enero;2022
Otros;0;0;0;0;Enero;2022
 Apícola;3;1,145,000;0;3;Enero;2022
Préstamos de Consumo;114;36,067,636;0;114;Enero;2022
Agro. Manufactura, Comercio V. y Otros;419;513,963,183;0;419;Enero;2022
Arroz (Producción);433;182,891,321;45,980;433;Febrero;2022
Arroz (Comercialización);6;75,120,000;0;6;Febrero;2022
Aguacate (Producción);72;39,466,416;3,284;72;Febrero;2022
Ají (Producción);17;16,464,000;506;17;Febrero;2022
Café (Producción);33;15,859,979;2,010;33;Febrero;2022
Café (Comercialización);0;0;0;0;Febrero;2022
Cacao (Producción);63;53,428,000;10,072;63;Febrero;2022
Cacao (Comercialización);4;204,600,000;0;4;Febrero;2022
Habichuela (Producción);1;150,000;140;1;Febrero;2022
Habichuela (Comercialización);1;21,200,000;0;1;Febrero;2022
Plátano;67;33,668,000;4,114;67;Febrero;2022
Guineo;6;2,130,000;200;6;Febrero;2022
Maíz (Producción);7;6,008,965;2,298;64;Febrero;2022
Maíz (Comercialización);0;0;0;0;Febrero;2022
Yuca;14;5,307,800;1,234;14;Febrero;2022
Yautía;10;3,021,000;294;10;Febrero;2022
Tomate Industrial;0;0;0;0;Febrero;2022
Tomate de Mesa;11;4,300,000;180;11;Febrero;2022
Coco (Producción);13;6,375,000;1,077;13;Febrero;2022
Coco (Comercialización);0;0;0;0;Febrero;2022
Guandul (Producción);1;180,000;70;1;Febrero;2022
Guandul (Comercialización);0;0;0;0;Febrero;2022
Papa;33;16,732,000;644;33;Febrero;2022
Piña;8;13,070,000;165;8;Febrero;2022
Cebolla;8;7,620,518;112;8;Febrero;2022
Ñame;23;4,372,610;474;23;Febrero;2022
Ajo (Producción);21;15,890,000;353;21;Febrero;2022
Ajo (Comercialización);3;52,982,880;0;3;Febrero;2022
Batata;4;1,450,000;388;4;Febrero;2022
Tabaco (Producción);9;4,550,000;382;9;Febrero;2022
Tabaco (Comercialización);15;223,813,305;0;15;Febrero;2022
Invernadero;2;6,417,651;24;2;Febrero;2022
Otros;127;203,354,730;11,167;142;Febrero;2022
Ganado de Carne;142;68,370,000;0;142;Febrero;2022
Ganado de Carne (Com);3;5,750,000;0;3;Febrero;2022
Ganado de Leche;25;20,389,500;0;25;Febrero;2022
Ganado de Leche (Com.);1;620,000;0;1;Febrero;2022
Ganado de Doble Propósito;50;77,837,000;0;50;Febrero;2022
Porcino (Producción);0;0;0;0;Febrero;2022
Porcino (Comercialización);0;0;0;0;Febrero;2022
Otros;38;35,586,000;0;38;Febrero;2022
Gallinas Ponedoras;17;18,950,000;0;17;Febrero;2022
Pollos de Engorde;82;90,143,500;0;82;Febrero;2022
Otros;1;985,000;0;1;Febrero;2022
 Apícola;1;200,000;0;1;Febrero;2022
Préstamos de Consumo;194;42,002,397;0;194;Febrero;2022
Agro. Manufactura, Comercio V. y Otros;401;465,710,486;0;401;Febrero;2022
Arroz (Producción);246;58,928,015;17,540;246;Marzo;2022
Arroz (Comercialización);14;117,028,000;0;14;Marzo;2022
Aguacate (Producción);110;60,805,236;5,279;110;Marzo;2022
Ají (Producción);21;10,337,488;547;21;Marzo;2022
Café (Producción);28;11,184,582;1,501;28;Marzo;2022
Café (Comercialización);1;18,520,032;0;1;Marzo;2022
Cacao (Producción);88;53,000,000;9,727;88;Marzo;2022
Cacao (Comercialización);4;21,215,000;0;4;Marzo;2022
Habichuela (Producción);0;0;0;0;Marzo;2022
Habichuela (Comercialización);2;21,200,000;0;2;Marzo;2022
Plátano;68;43,973,013;4,037;68;Marzo;2022
Guineo;15;12,120,629;992;15;Marzo;2022
Maíz (Producción);14;1,419,870;645;14;Marzo;2022
Maíz (Comercialización);0;0;0;0;Marzo;2022
Yuca;7;2,950,000;691;7;Marzo;2022
Yautía;6;750,000;111;6;Marzo;2022
Tomate Industrial;0;0;0;0;Marzo;2022
Tomate de Mesa;6;3,500,000;92;6;Marzo;2022
Coco (Producción);25;17,850,000;2,745;25;Marzo;2022
Coco (Comercialización);0;0;0;0;Marzo;2022
Guandul (Producción);10;1,458,564;493;10;Marzo;2022
Guandul (Comercialización);0;0;0;0;Marzo;2022
Papa;42;29,743,000;1,126;42;Marzo;2022
Piña;17;11,125,000;535;17;Marzo;2022
Cebolla;4;9,150,000;51;4;Marzo;2022
Ñame;19;4,650,000;505;19;Marzo;2022
Ajo (Producción);15;30,360,000;381;15;Marzo;2022
Ajo (Comercialización);2;26,334,040;0;2;Marzo;2022
Batata;7;1,499,550;468;7;Marzo;2022
Tabaco (Producción);30;4,763,000;651;30;Marzo;2022
Tabaco (Comercialización);14;41,259,492;0;14;Marzo;2022
Invernadero;2;11,089,247;83;2;Marzo;2022
Otros;201;615,857,147;15,841;201;Marzo;2022
Ganado de Carne;133;86,555,500;0;133;Marzo;2022
Ganado de Carne (Com);2;600,000;0;2;Marzo;2022
Ganado de Leche;20;30,550,000;0;20;Marzo;2022
Ganado de Leche (Com.);0;0;0;0;Marzo;2022
Ganado de Doble Propósito;74;117,720,684;0;74;Marzo;2022
Porcino (Producción);0;0;0;0;Marzo;2022
Porcino (Comercialización);0;0;0;0;Marzo;2022
Otros;39;186,768,385;0;39;Marzo;2022
Gallinas Ponedoras;21;32,200,000;0;21;Marzo;2022
Pollos de Engorde;67;84,782,950;0;67;Marzo;2022
Otros;2;5,575,000;0;2;Marzo;2022
 Apícola;5;3,380,000;0;5;Marzo;2022
Préstamos de Consumo;197;40,490,911;0;197;Marzo;2022
Agro. Manufactura, Comercio V. y Otros;451;597,522,325;0;451;Marzo;2022
Arroz (Producción);248;91,824,800;18,486;248;Abril;2022
Arroz (Comercialización);72;774,090,500;0;72;Abril;2022
Aguacate (Producción);97;43,727,847;4,217;97;Abril;2022
Ají (Producción);10;7,530,000;171;10;Abril;2022
Café (Producción);48;21,701,412;2,646;48;Abril;2022
Café (Comercialización);2;1,450,000;0;2;Abril;2022
Cacao (Producción);65;25,645,200;5,860;66;Abril;2022
Cacao (Comercialización);11;154,350,000;0;11;Abril;2022
Habichuela (Producción);0;0;0;0;Abril;2022
Habichuela (Comercialización);0;0;0;;Abril;2022
Plátano;38;75,906,837;4,930;38;Abril;2022
Guineo;17;20,402,555;2,199;17;Abril;2022
Maíz (Producción);18;3,472,442;1,647;18;Abril;2022
Maíz (Comercialización);0;0;0;0;Abril;2022
Yuca;13;2,225,000;466;13;Abril;2022
Yautía;12;2,853,065;517;12;Abril;2022
Tomate Industrial;0;0;0;0;Abril;2022
Tomate de Mesa;6;3,250,000;77;6;Abril;2022
Coco (Producción);13;37,080,000;2,693;13;Abril;2022
Coco (Comercialización);1;315,000;0;1;Abril;2022
Guandul (Producción);3;1,141,843;210;3;Abril;2022
Guandul (Comercialización);0;0;0;0;Abril;2022
Papa;28;35,604,000;1,272;28;Abril;2022
Piña;11;13,550,000;560;11;Abril;2022
Cebolla;6;5,087,500;258;6;Abril;2022
Ñame;15;3,445,000;386;15;Abril;2022
Ajo (Producción);4;2,350,000;60;4;Abril;2022
Ajo (Comercialización);0;0;0;0;Abril;2022
Batata;3;740,000;262;3;Abril;2022
Tabaco (Producción);6;1,005,000;136;6;Abril;2022
Tabaco (Comercialización);7;42,588,765;0;7;Abril;2022
Invernadero;3;12,442,755;44;3;Abril;2022
Otros;315;541,465,453;18,012;315;Abril;2022
Ganado de Carne;61;48,457,066;0;61;Abril;2022
Ganado de Carne (Com);2;1,600,000;0;2;Abril;2022
Ganado de Leche;16;33,001,500;0;16;Abril;2022
Ganado de Leche (Com.);0;0;0;0;Abril;2022
Ganado de Doble Propósito;43;48,793,073;0;43;Abril;2022
Porcino (Producción);0;0;0;1;Abril;2022
Porcino (Comercialización);0;0;0;0;Abril;2022
Otros;42;70,615,474;0;42;Abril;2022
Gallinas Ponedoras;11;25,258,994;0;11;Abril;2022
Pollos de Engorde;64;62,924,000;0;64;Abril;2022
Otros;1;375,000;0;1;Abril;2022
 Apícola;2;600,000;0;2;Abril;2022
Préstamos de Consumo;192;37,266,562;0;192;Abril;2022
Agro. Manufactura, Comercio V. y Otros;444;473,359,462;0;444;Abril;2022
Arroz (Producción);976;420,117,745;77,775;976;Mayo;2022
Arroz (Comercialización);125;1,928,055,600;0;125;Mayo;2022
Aguacate (Producción);76;42,710,915;3,271;76;Mayo;2022
Ají (Producción);12;7,372,750;363;12;Mayo;2022
Café (Producción);47;23,872,082;2,278;47;Mayo;2022
Café (Comercialización);1;12,000,000;0;1;Mayo;2022
Cacao (Producción);84;28,470,523;7,492;84;Mayo;2022
Cacao (Comercialización);9;77,950,000;0;9;Mayo;2022
Habichuela (Producción);0;0;0;0;Mayo;2022
Habichuela (Comercialización);0;0;0;0;Mayo;2022
Plátano;72;49,100,807;5,111;72;Mayo;2022
Guineo;29;36,567,454;2,839;29;Mayo;2022
Maíz (Producción);7;1,827,600;892;7;Mayo;2022
Maíz (Comercialización);1;614,358;0;1;Mayo;2022
