tipo_registro,anio,mes_numero,mes_nombre,periodo_fecha,sucursal_nombre,region,destino_nombre,rubro,tipo_operacion,cantidad_prestamos,valor_cartera_rd,tareas_financiadas,valor_area_rd,desembolsos_rd,cobros_rd,balance_neto_rd,cantidad_destino,valores_destino_rd,tareas_destino,beneficiados
Cartera prestamos,2017,7,Julio,2017-07-01,La Vega,Cibao Norte,,,,1135,975572372,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,7,Julio,2017-07-01,Moca,Cibao Norte,,,,1022,654187082,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,7,Julio,2017-07-01,Monte Plata,Metropolitana,,,,1233,890903062,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,7,Julio,2017-07-01,Montecristí,Cibao Noroeste,,,,1182,1303850325,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,7,Julio,2017-07-01,Nagua,Cibao Nordeste,,,,1114,409636175,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,7,Julio,2017-07-01,Neyba,Sur,,,,1738,492484116,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,7,Julio,2017-07-01,Puerto Plata,Cibao Norte,,,,1923,564261599,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,7,Julio,2017-07-01,Río San Juan,Cibao Nordeste,,,,982,443123631,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,7,Julio,2017-07-01,Salcedo,Cibao Nordeste,,,,889,414018457,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,7,Julio,2017-07-01,Samaná,Cibao Nordeste,,,,1315,312492730,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,7,Julio,2017-07-01,San Cristóbal,Sur,,,,1289,691024112,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,7,Julio,2017-07-01,San Francisco de Macorís,Cibao Nordeste,,,,904,662479070,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,7,Julio,2017-07-01,San José de Ocoa,Sur,,,,1155,1598970928,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,7,Julio,2017-07-01,San José de las Matas,Cibao Norte,,,,941,581600367,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,7,Julio,2017-07-01,San Juan de la Maguana,Sur,,,,4644,1403356226,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,7,Julio,2017-07-01,Santiago,Cibao Norte,,,,493,428035751,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,7,Julio,2017-07-01,Santiago Rodríguez,Cibao Noroeste,,,,1658,758205526,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,7,Julio,2017-07-01,Santo Domingo,Metropolitana,,,,1953,1678738129,0,0,0,0,0,0,0,0,0
